"path","sha256","creator","source","license","commercial_use","proof","git_added","notes"
"app/src/main/assets/pet/01_front.png","37ee2cd675ce27a3a46a167ea5df519125043c8ee3fbecaa55d7147c4cec5139","小橘 using ChatGPT","AI-generated with ChatGPT","Output owned by user as between user and OpenAI under OpenAI Terms of Use","yes, subject to OpenAI Terms and third-party rights","REVIEW_REQUIRED","e10d7def4b6eb44ccf69e91fa2722784a3c0e17c|2026-08-09T18:14:06+08:00|tdevid523-bot","Keep the original ChatGPT conversation, original output, or a dated screenshot as proof."
"app/src/main/assets/pet/02_back.png","6101cbc77ba20c9a8990b2c731be2f56b2576a4da381306e6a8b3e566414d82b","小橘 using ChatGPT","AI-generated with ChatGPT","Output owned by user as between user and OpenAI under OpenAI Terms of Use","yes, subject to OpenAI Terms and third-party rights","REVIEW_REQUIRED","e10d7def4b6eb44ccf69e91fa2722784a3c0e17c|2026-08-09T18:14:06+08:00|tdevid523-bot","Keep the original ChatGPT conversation, original output, or a dated screenshot as proof."
"app/src/main/assets/pet/03_side.png","69730fa25b4cce913333284ac40861633d3c13cebf5d1ecc24603a891fc535a6","小橘 using ChatGPT","AI-generated with ChatGPT","Output owned by user as between user and OpenAI under OpenAI Terms of Use","yes, subject to OpenAI Terms and third-party rights","REVIEW_REQUIRED","e10d7def4b6eb44ccf69e91fa2722784a3c0e17c|2026-08-09T18:14:06+08:00|tdevid523-bot","Keep the original ChatGPT conversation, original output, or a dated screenshot as proof."
"app/src/main/assets/pet/04_hiphop.png","c8c26cf054520cada9dc6a256fc17e489ff154ddb55adee310715c2e9c0175aa","小橘 using ChatGPT","AI-generated with ChatGPT","Output owned by user as between user and OpenAI under OpenAI Terms of Use","yes, subject to OpenAI Terms and third-party rights","REVIEW_REQUIRED","e10d7def4b6eb44ccf69e91fa2722784a3c0e17c|2026-08-09T18:14:06+08:00|tdevid523-bot","Keep the original ChatGPT conversation, original output, or a dated screenshot as proof."
"app/src/main/assets/pet/05_smile.png","5156f1805f153e7a37b54ac8fa19b7d3347069e1790cc6aac18b4400f4807401","小橘 using ChatGPT","AI-generated with ChatGPT","Output owned by user as between user and OpenAI under OpenAI Terms of Use","yes, subject to OpenAI Terms and third-party rights","REVIEW_REQUIRED","e10d7def4b6eb44ccf69e91fa2722784a3c0e17c|2026-08-09T18:14:06+08:00|tdevid523-bot","Keep the original ChatGPT conversation, original output, or a dated screenshot as proof."
"app/src/main/assets/pet/06_wink_sparkle.png","391ecc564ac6c60c098d6f519532f822325102eb134a5157e8f32236fcae487e","小橘 using ChatGPT","AI-generated with ChatGPT","Output owned by user as between user and OpenAI under OpenAI Terms of Use","yes, subject to OpenAI Terms and third-party rights","REVIEW_REQUIRED","e10d7def4b6eb44ccf69e91fa2722784a3c0e17c|2026-08-09T18:14:06+08:00|tdevid523-bot","Keep the original ChatGPT conversation, original output, or a dated screenshot as proof."
"app/src/main/assets/pet/07_wave.png","8532242a570d28702a999595db2ae478eae35358561af4e0f912a26060e2e4dc","小橘 using ChatGPT","AI-generated with ChatGPT","Output owned by user as between user and OpenAI under OpenAI Terms of Use","yes, subject to OpenAI Terms and third-party rights","REVIEW_REQUIRED","e10d7def4b6eb44ccf69e91fa2722784a3c0e17c|2026-08-09T18:14:06+08:00|tdevid523-bot","Keep the original ChatGPT conversation, original output, or a dated screenshot as proof."
"app/src/main/assets/pet/08_blush.png","b561f152bdb8d3c953c496aa78a3d8fe1356e4c86cdbc5d8e75431c236a7e5df","小橘 using ChatGPT","AI-generated with ChatGPT","Output owned by user as between user and OpenAI under OpenAI Terms of Use","yes, subject to OpenAI Terms and third-party rights","REVIEW_REQUIRED","e10d7def4b6eb44ccf69e91fa2722784a3c0e17c|2026-08-09T18:14:06+08:00|tdevid523-bot","Keep the original ChatGPT conversation, original output, or a dated screenshot as proof."
"app/src/main/assets/pet/09_point.png","fc65ff982969dd893e6423919a0df26702792cf122d2c4bea7f0b4cc26ed360e","小橘 using ChatGPT","AI-generated with ChatGPT","Output owned by user as between user and OpenAI under OpenAI Terms of Use","yes, subject to OpenAI Terms and third-party rights","REVIEW_REQUIRED","e10d7def4b6eb44ccf69e91fa2722784a3c0e17c|2026-08-09T18:14:06+08:00|tdevid523-bot","Keep the original ChatGPT conversation, original output, or a dated screenshot as proof."
"app/src/main/assets/pet/10_surprised.png","03f74cf03eaa25a50646097ccd98ddd55c15e21aaf3688ae67f4c4829bc97e8a","小橘 using ChatGPT","AI-generated with ChatGPT","Output owned by user as between user and OpenAI under OpenAI Terms of Use","yes, subject to OpenAI Terms and third-party rights","REVIEW_REQUIRED","e10d7def4b6eb44ccf69e91fa2722784a3c0e17c|2026-08-09T18:14:06+08:00|tdevid523-bot","Keep the original ChatGPT conversation, original output, or a dated screenshot as proof."
